Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Positive Cases per 1M in 1st Month of Infection
3.2030000000000003,0.35,0.517,0.361,0.0,2.208099904533852
4.718999999999999,0.9470000000000001,0.848,0.8740000000000001,0.38299999999999995,138.84487313570384
7.278,1.365,1.505,1.0390000000000001,0.584,269.3292174538104
5.211,1.002,1.16,0.785,0.086,8.524366238920008
7.053999999999999,1.3330000000000002,1.538,0.996,0.45,201.76205528280315
5.191,1.0290000000000001,1.125,0.893,0.521,15.623023402909551
6.086,1.092,1.432,0.8809999999999999,0.47100000000000003,25.30109249134811
4.559,0.85,1.055,0.815,0.28300000000000003,179.86779041210008
7.4879999999999995,1.396,1.5219999999999998,0.9990000000000001,0.557,869.1955217535075
7.228,1.3719999999999999,1.548,1.036,0.557,249.65097339641667
7.246,1.376,1.475,1.016,0.532,771.5149834038853
5.207999999999999,1.043,1.147,0.769,0.35100000000000003,29.658472733960814
6.199,1.3619999999999999,1.368,0.871,0.536,255.3065994623328
4.456,0.562,0.9279999999999999,0.723,0.527,1.005850042245395
5.191,1.0290000000000001,1.125,0.893,0.521,18.384401114206128
5.3229999999999995,1.067,1.465,0.789,0.235,9.944554874847249
6.922999999999999,1.3559999999999999,1.504,0.986,0.473,4.333008704321206
4.883,0.39299999999999996,0.43700000000000006,0.397,0.349,2.96581240253599
7.053999999999999,1.3330000000000002,1.538,0.996,0.45,1327.9575053598285
5.082,0.813,1.321,0.604,0.457,6.552272721316116
5.779,0.7759999999999999,1.209,0.706,0.511,23.27783133995188
5.386,0.945,1.212,0.845,0.212,189.03374070508374
3.488,1.041,1.145,0.5379999999999999,0.455,9.983925879334272
6.3,1.004,1.439,0.802,0.39,16.190513089963495
7.278,1.365,1.505,1.0390000000000001,0.584,1.3803983435219878
7.053999999999999,1.3330000000000002,1.538,0.996,0.45,199.8001998001998
5.011,1.092,1.5130000000000001,0.815,0.311,82.42719371690501
4.587,0.331,1.056,0.38,0.255,21.799697392643008
3.775,0.046,0.447,0.38,0.22,0.9539852168716274
4.7,0.574,1.122,0.637,0.609,0.060655533464810264
5.044,0.5489999999999999,0.91,0.331,0.381,25.119426448522354
7.053999999999999,1.3330000000000002,1.538,0.996,0.45,816.0374453408881
3.083,0.026000000000000002,0.0,0.105,0.225,2.3181422660767907
4.35,0.35,0.7659999999999999,0.192,0.174,2.069370049894393
7.053999999999999,1.3330000000000002,1.538,0.996,0.45,2095.6815028532615
6.444,1.159,1.369,0.92,0.35700000000000004,179.61131878449993
5.191,1.0290000000000001,1.125,0.893,0.521,18.43971631205674
6.125,0.985,1.41,0.841,0.47,29.499730459870207
4.812,0.6729999999999999,0.799,0.508,0.37200000000000005,25.996533795493935
4.418,0.094,1.125,0.35700000000000004,0.26899999999999996,2.4005876727947193
7.167000000000001,1.034,1.4409999999999998,0.963,0.5579999999999999,89.94443058736685
5.432,1.155,1.266,0.914,0.29600000000000004,119.84604504419656
7.4879999999999995,1.396,1.5219999999999998,0.9990000000000001,0.557,85.66673193655767
6.046,1.263,1.2229999999999999,1.042,0.406,438.85483916721034
7.6,1.383,1.5730000000000002,0.996,0.5920000000000001,381.33175741617504
5.425,1.015,1.401,0.779,0.49700000000000005,103.26887424914729
6.028,0.912,1.3119999999999998,0.868,0.498,128.9308290131433
4.166,0.9129999999999999,1.0390000000000001,0.644,0.24100000000000002,1.0957476662865815
6.252999999999999,0.794,1.242,0.789,0.43,29.44116029162244
5.893,1.237,1.528,0.8740000000000001,0.495,486.55413310763254
4.2860000000000005,0.336,1.033,0.532,0.344,0.6334832835851179
7.6,1.383,1.5730000000000002,0.996,0.5920000000000001,3677.0747740345114
7.769,1.34,1.587,0.986,0.596,0.36152250866253116
6.5920000000000005,1.324,1.472,1.045,0.436,0.18424765181357802
6.5920000000000005,1.324,1.472,1.045,0.436,247.56560488529462
6.5920000000000005,1.324,1.472,1.045,0.436,189.76894735522959
5.191,1.0290000000000001,1.125,0.893,0.521,7.4346612534889625
4.7989999999999995,1.057,1.183,0.5710000000000001,0.295,26.236112121175857
4.516,0.308,0.9390000000000001,0.428,0.382,3.8335457401639736
5.191,1.0290000000000001,1.125,0.893,0.521,3.4508911642017446
4.519,0.8859999999999999,0.6659999999999999,0.752,0.34600000000000003,20.766810733288597
6.985,1.3730000000000002,1.454,0.987,0.495,0.3232872963442696
4.996,0.611,0.868,0.486,0.381,18.607490376212553
7.053999999999999,1.3330000000000002,1.538,0.996,0.45,2818.907450817483
5.287000000000001,1.181,1.156,0.9990000000000001,0.067,92.23320066774546
7.6,1.383,1.5730000000000002,0.996,0.5920000000000001,193.00954519932623
6.5920000000000005,1.324,1.472,1.045,0.436,357.4499570060192
5.191,1.0290000000000001,1.125,0.893,0.521,11.748633879781421
5.191,1.0290000000000001,1.125,0.893,0.521,4.993909866017052
6.436,0.8,1.2690000000000001,0.746,0.535,8.872975170002793
4.534,0.38,0.8290000000000001,0.375,0.332,19.575223905326073
5.191,1.0290000000000001,1.125,0.893,0.521,4.055555555555555
5.191,1.0290000000000001,1.125,0.893,0.521,17.98715203426124
3.597,0.32299999999999995,0.688,0.449,0.026000000000000002,4.172926426246322
5.191,1.0290000000000001,1.125,0.893,0.521,4.076230809952356
5.191,1.0290000000000001,1.125,0.893,0.521,12.695467797508613
5.191,1.0290000000000001,1.125,0.893,0.521,13.19104633003644
5.86,0.642,1.236,0.828,0.507,39.19510492129428
5.191,1.0290000000000001,1.125,0.893,0.521,9.278990187669594
5.191,1.0290000000000001,1.125,0.893,0.521,1059.016393442623
5.191,1.0290000000000001,1.125,0.893,0.521,14.654297724307872
5.757999999999999,1.2009999999999998,1.41,0.828,0.19899999999999998,64.3284032100183
7.494,1.38,1.624,1.026,0.591,3008.5211938519983
4.015,0.755,0.765,0.588,0.498,0.002195521821073291
5.192,0.9309999999999999,1.203,0.66,0.491,6.196753760519604
5.191,1.0290000000000001,1.125,0.893,0.521,2.9597474348855566
4.548,1.1,0.8420000000000001,0.785,0.305,236.92045095547664
4.437,1.043,0.98,0.574,0.24100000000000002,8.80187883989914
7.021,1.499,1.5530000000000002,0.9990000000000001,0.516,596.0063885330828
7.053999999999999,1.3330000000000002,1.538,0.996,0.45,3523.1249408871654
7.138999999999999,1.276,1.455,1.0290000000000001,0.371,103.6461251315091
6.223,1.294,1.4880000000000002,1.0390000000000001,0.231,27.97683610455951
5.89,0.831,1.4780000000000002,0.831,0.49,21.368412805174007
5.886,1.327,1.419,1.088,0.445,0.8276821103819092
5.191,1.0290000000000001,1.125,0.893,0.521,7.837535709849709
5.191,1.0290000000000001,1.125,0.893,0.521,20.094664371772808
5.191,1.0290000000000001,1.125,0.893,0.521,3.3653846153846154
4.906000000000001,0.8370000000000001,1.225,0.815,0.38299999999999995,29.598987180074793
5.809,1.173,1.508,0.7290000000000001,0.41,51.262900085103965
4.5089999999999995,0.512,0.983,0.581,0.431,3.7471016786692166
6.1,0.882,1.232,0.758,0.489,281.8800848956491
6.021,1.5,1.319,0.8079999999999999,0.493,46.35047088512998
5.261,0.551,1.4380000000000002,0.723,0.508,76.21748073638244
4.796,0.764,1.03,0.551,0.547,2.6501317045716863
5.94,1.187,1.465,0.812,0.264,233.907087489642
5.197,0.987,1.224,0.815,0.21600000000000003,36.17423084906317
5.191,1.0290000000000001,1.125,0.893,0.521,2.7758660243175037
3.975,0.073,0.922,0.44299999999999995,0.37,11.949672032136922
5.525,1.044,1.3030000000000002,0.6729999999999999,0.41600000000000004,8.852883229142275
6.149,1.238,1.515,0.818,0.29100000000000004,166.68895225484854
7.09,1.609,1.479,1.012,0.526,3228.687898916733
5.191,1.0290000000000001,1.125,0.893,0.521,15.614143290992983
3.9330000000000003,0.27399999999999997,0.9159999999999999,0.555,0.14800000000000002,4.486581894246741
5.3389999999999995,1.2209999999999999,1.171,0.828,0.508,0.6885804472761933
4.39,0.385,1.105,0.308,0.327,16.532689986170023
6.726,1.3,1.52,0.9990000000000001,0.564,547.2583718041587
7.278,1.365,1.505,1.0390000000000001,0.584,176.18271749465262
6.5920000000000005,1.324,1.472,1.045,0.436,402.07267130692253
4.49,0.57,1.167,0.489,0.066,1.5467227375755075
5.888,1.12,1.402,0.7979999999999999,0.498,255.18441799837754
6.5920000000000005,1.324,1.472,1.045,0.436,815.3297012962614
6.595,1.07,1.3230000000000002,0.861,0.433,7.783624397120862
5.529,0.685,1.328,0.7390000000000001,0.245,261.17519439126266
5.285,0.948,1.531,0.667,0.317,4.9609849539527575
5.523,1.051,1.361,0.871,0.19699999999999998,482.493296050243
7.053999999999999,1.3330000000000002,1.538,0.996,0.45,2204.85067147725
5.207999999999999,0.8009999999999999,0.782,0.782,0.418,17.9316789869731
4.466,0.204,0.986,0.39,0.494,1.2843293411657226
4.638999999999999,0.879,1.3130000000000002,0.47700000000000004,0.401,6.41404933366045
4.913,0.446,1.226,0.677,0.439,0.034954383655470024
7.4879999999999995,1.396,1.5219999999999998,0.9990000000000001,0.557,570.9732567286321
7.278,1.365,1.505,1.0390000000000001,0.584,143.56139941601273
6.5920000000000005,1.324,1.472,1.045,0.436,63.6604774535809
7.228,1.3719999999999999,1.548,1.036,0.557,0.5005005005005004
7.307,1.3030000000000002,1.557,1.026,0.585,107.46254177763115
7.278,1.365,1.505,1.0390000000000001,0.584,465.52714271268775
6.105,0.6940000000000001,1.325,0.835,0.435,1.3749898212559064
4.628,0.138,0.774,0.366,0.318,27.79837035485692
5.265,0.696,1.111,0.245,0.426,0.5523388232644296
5.191,1.0290000000000001,1.125,0.893,0.521,10.319767441860465
