Country/Region,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Population 2019,Max Change
Afghanistan,3.2030000000000003,0.35,0.517,0.361,0.0,38041757,232.0
Albania,4.7189999999999985,0.947,0.848,0.8740000000000001,0.383,2880913,34.0
Alberta (Canada),7.278,1.365,1.505,1.039,0.584,4384968,401.0
Algeria,5.211,1.002,1.16,0.785,0.086,43053054,199.0
Anguilla (United Kingdom),7.0539999999999985,1.3330000000000002,1.538,0.996,0.45,14869,2.0
Anhui (China),5.191,1.029,1.125,0.893,0.521,63240000,74.0
Argentina,6.086,1.092,1.432,0.8809999999999999,0.471,44780675,291.0
Armenia,4.559,0.85,1.055,0.815,0.28300000000000003,2957728,134.0
Aruba (Netherlands),7.487999999999999,1.396,1.5219999999999998,0.999,0.557,105845,13.0
Australian Capital Territory (Australia),7.228,1.372,1.548,1.036,0.557,412576,14.0
Austria,7.246,1.376,1.475,1.016,0.532,8955108,1321.0
Azerbaijan,5.207999999999998,1.043,1.147,0.769,0.35100000000000003,10047719,105.0
Bahrain,6.199,1.362,1.368,0.871,0.536,1641164,301.0
Bangladesh,4.456,0.562,0.928,0.723,0.527,163046173,641.0
Beijing (China),5.191,1.029,1.125,0.893,0.521,21540000,29.0
Belarus,5.323,1.067,1.465,0.789,0.235,9452409,1485.0
Belgium,6.922999999999999,1.356,1.504,0.986,0.473,11539326,2454.0
Benin,4.883,0.393,0.4370000000000001,0.397,0.349,11801151,19.0
Bermuda (United Kingdom),7.0539999999999985,1.3330000000000002,1.538,0.996,0.45,62502,24.0
Bhutan,5.082,0.813,1.321,0.604,0.457,763094,1.0
Bolivia,5.779,0.7759999999999999,1.209,0.706,0.511,11513100,104.0
Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,3300998,92.0
Botswana,3.488,1.041,1.145,0.5379999999999999,0.455,2303703,7.0
Brazil,6.3,1.004,1.439,0.802,0.39,211049519,7502.0
British Columbia (Canada),7.278,1.365,1.505,1.039,0.584,5071000,159.0
British Virgin Islands (United Kingdom),7.0539999999999985,1.3330000000000002,1.538,0.996,0.45,30030,2.0
Bulgaria,5.011,1.092,1.513,0.815,0.311,7000117,137.0
Burkina Faso,4.587,0.331,1.056,0.38,0.255,20321383,41.0
Burundi,3.775,0.046,0.447,0.38,0.22,11530577,6.0
Cambodia,4.7,0.574,1.122,0.637,0.609,16486542,31.0
Cameroon,5.044,0.5489999999999999,0.91,0.331,0.381,25876387,203.0
Cayman Islands (United Kingdom),7.0539999999999985,1.3330000000000002,1.538,0.996,0.45,64948,8.0
Central African Republic,3.083,0.026,0.0,0.105,0.225,4745179,31.0
Chad,4.35,0.35,0.7659999999999999,0.192,0.174,15946882,21.0
Channel Islands (United Kingdom),7.0539999999999985,1.3330000000000002,1.538,0.996,0.45,172259,47.0
Chile,6.444,1.159,1.369,0.92,0.35700000000000004,18952035,1138.0
Chongqing (China),5.191,1.029,1.125,0.893,0.521,31020000,53.0
Colombia,6.125,0.985,1.41,0.841,0.47,50339443,353.0
Congo (Brazzaville),4.812,0.6729999999999999,0.799,0.508,0.3720000000000001,2308000,57.0
Congo (Kinshasa),4.418,0.094,1.125,0.35700000000000004,0.269,89561403,81.0
Costa Rica,7.167000000000002,1.034,1.4409999999999998,0.963,0.5579999999999999,5047561,37.0
Croatia,5.432,1.155,1.266,0.914,0.29600000000000004,4130299,96.0
Curacao (Netherlands),7.487999999999999,1.396,1.5219999999999998,0.999,0.557,163424,3.0
Cyprus,6.046,1.263,1.223,1.042,0.406,1198574,58.0
Denmark,7.6,1.383,1.5730000000000002,0.996,0.5920000000000001,5771877,390.0
Dominican Republic,5.425,1.015,1.401,0.779,0.4970000000000001,10738957,371.0
Ecuador,6.028,0.912,1.3119999999999998,0.868,0.498,17373657,11536.0
Egypt,4.166,0.913,1.039,0.644,0.241,100388076,269.0
El Salvador,6.252999999999999,0.794,1.242,0.789,0.43,6453550,32.0
Estonia,5.893,1.237,1.528,0.8740000000000001,0.495,1325649,134.0
Ethiopia,4.2860000000000005,0.336,1.033,0.532,0.344,112078727,9.0
Faroe Islands (Denmark),7.6,1.383,1.5730000000000002,0.996,0.5920000000000001,48680,29.0
Finland,7.769,1.34,1.587,0.986,0.596,5532159,267.0
France,6.5920000000000005,1.324,1.472,1.045,0.436,65129731,26843.0
French Guiana (France),6.5920000000000005,1.324,1.472,1.045,0.436,290832,15.0
French Polynesia (France),6.5920000000000005,1.324,1.472,1.045,0.436,279287,7.0
Fujian (China),5.191,1.029,1.125,0.893,0.521,39410000,24.0
Gabon,4.799,1.057,1.183,0.5710000000000001,0.295,2172578,38.0
Gambia,4.516,0.308,0.939,0.428,0.382,2347696,5.0
Gansu (China),5.191,1.029,1.125,0.893,0.521,26370000,17.0
Georgia,4.519,0.8859999999999999,0.6659999999999999,0.752,0.34600000000000003,3996762,42.0
Germany,6.985,1.3730000000000002,1.454,0.987,0.495,83517046,6933.0
Ghana,4.996,0.611,0.868,0.486,0.381,30417858,403.0
Gibraltar (United Kingdom),7.0539999999999985,1.3330000000000002,1.538,0.996,0.45,33701,20.0
Greece,5.287000000000001,1.181,1.156,0.999,0.067,10473452,156.0
Greenland (Denmark),7.6,1.383,1.5730000000000002,0.996,0.5920000000000001,56992,4.0
Guadeloupe (France),6.5920000000000005,1.324,1.472,1.045,0.436,400056,29.0
Guangdong (China),5.191,1.029,1.125,0.893,0.521,113460000,99.0
Guangxi (China),5.191,1.029,1.125,0.893,0.521,49260000,20.0
Guatemala,6.436,0.8,1.269,0.746,0.535,17581476,68.0
Guinea,4.534,0.38,0.8290000000000001,0.375,0.332,12771246,167.0
Guizhou (China),5.191,1.029,1.125,0.893,0.521,36000000,18.0
Hainan (China),5.191,1.029,1.125,0.893,0.521,9340000,19.0
Haiti,3.597,0.32299999999999995,0.688,0.449,0.026,11263079,10.0
Hebei (China),5.191,1.029,1.125,0.893,0.521,75560000,23.0
Heilongjiang (China),5.191,1.029,1.125,0.893,0.521,37730000,79.0
Henan (China),5.191,1.029,1.125,0.893,0.521,96050000,109.0
Honduras,5.86,0.642,1.236,0.828,0.507,9746115,72.0
Hong Kong (China),5.191,1.029,1.125,0.893,0.521,7436154,80.0
Hubei (China),5.191,1.029,1.125,0.893,0.521,59170000,14840.0
Hunan (China),5.191,1.029,1.125,0.893,0.521,68990000,78.0
Hungary,5.757999999999999,1.2009999999999998,1.41,0.828,0.199,9684680,210.0
Iceland,7.494,1.38,1.624,1.026,0.591,339037,99.0
India,4.015,0.755,0.765,0.588,0.498,1366417756,1893.0
Indonesia,5.192,0.931,1.203,0.66,0.491,270625567,436.0
Inner Mongolia (China),5.191,1.029,1.125,0.893,0.521,25340000,34.0
Iran,4.548,1.1,0.8420000000000001,0.785,0.305,82913906,3186.0
Iraq,4.437,1.043,0.98,0.574,0.241,39309789,91.0
Ireland,7.021,1.499,1.5530000000000002,0.999,0.516,4882498,1515.0
Isle of Man (United Kingdom),7.0539999999999985,1.3330000000000002,1.538,0.996,0.45,84584,32.0
Israel,7.1389999999999985,1.276,1.455,1.029,0.371,8519373,1131.0
Italy,6.223,1.294,1.4880000000000002,1.039,0.231,60550092,6557.0
Jamaica,5.89,0.831,1.4780000000000002,0.831,0.49,2948277,52.0
Japan,5.886,1.327,1.419,1.088,0.445,126860299,1161.0
Jiangsu (China),5.191,1.029,1.125,0.893,0.521,80510000,39.0
Jiangxi (China),5.191,1.029,1.125,0.893,0.521,46480000,85.0
Jilin (China),5.191,1.029,1.125,0.893,0.521,27040000,12.0
Jordan,4.9060000000000015,0.8370000000000001,1.225,0.815,0.383,10101697,40.0
Kazakhstan,5.809,1.173,1.508,0.7290000000000001,0.41,18551428,264.0
Kenya,4.509,0.512,0.983,0.581,0.431,52573967,29.0
Kosovo,6.1,0.882,1.232,0.758,0.489,1809280,289.0
Kuwait,6.021,1.5,1.319,0.8079999999999999,0.493,4207077,300.0
Kyrgyzstan,5.261,0.551,1.4380000000000002,0.723,0.508,6415851,69.0
Laos,4.796,0.764,1.03,0.551,0.547,7169455,3.0
Latvia,5.94,1.187,1.465,0.812,0.264,1906740,48.0
Lebanon,5.197,0.987,1.224,0.815,0.21600000000000005,6855709,61.0
Liaoning (China),5.191,1.029,1.125,0.893,0.521,43590000,16.0
Liberia,3.975,0.073,0.922,0.443,0.37,4937374,17.0
Libya,5.525,1.044,1.3030000000000002,0.6729999999999999,0.416,6777453,13.0
Lithuania,6.149,1.238,1.515,0.818,0.29100000000000004,2759631,90.0
Luxembourg,7.09,1.609,1.479,1.012,0.526,615730,234.0
Macau (China),5.191,1.029,1.125,0.893,0.521,640445,6.0
Madagascar,3.933,0.274,0.916,0.555,0.14800000000000002,26969306,14.0
Malaysia,5.339,1.221,1.171,0.828,0.508,31949789,235.0
Mali,4.39,0.385,1.105,0.308,0.327,19658023,58.0
Malta,6.726,1.3,1.52,0.999,0.564,440377,52.0
Manitoba (Canada),7.278,1.365,1.505,1.039,0.584,1373574,40.0
Martinique (France),6.5920000000000005,1.324,1.472,1.045,0.436,375554,35.0
Mauritania,4.49,0.57,1.167,0.489,0.066,4525698,2.0
Mauritius,5.888,1.12,1.402,0.7979999999999999,0.498,1269670,41.0
Mayotte (France),6.5920000000000005,1.324,1.472,1.045,0.436,266150,79.0
Mexico,6.595,1.07,1.3230000000000002,0.861,0.433,127575529,1425.0
Moldova,5.529,0.685,1.328,0.7390000000000001,0.245,4043263,222.0
Mongolia,5.285,0.948,1.531,0.667,0.317,3225166,13.0
Montenegro,5.523,1.051,1.361,0.871,0.197,627988,30.0
Montserrat (United Kingdom),7.0539999999999985,1.3330000000000002,1.538,0.996,0.45,4989,4.0
Morocco,5.207999999999998,0.8009999999999999,0.782,0.782,0.418,36471766,281.0
Mozambique,4.466,0.204,0.986,0.39,0.494,30366043,19.0
Namibia,4.6389999999999985,0.879,1.3130000000000002,0.477,0.401,2494524,3.0
Nepal,4.913,0.446,1.226,0.677,0.439,28608715,14.0
Netherlands,7.487999999999999,1.396,1.5219999999999998,0.999,0.557,17097123,1335.0
New Brunswick (Canada),7.278,1.365,1.505,1.039,0.584,780154,15.0
New Caledonia (France),6.5920000000000005,1.324,1.472,1.045,0.436,282750,4.0
New South Wales (Australia),7.228,1.372,1.548,1.036,0.557,7992000,241.0
New Zealand,7.307,1.3030000000000002,1.557,1.026,0.585,4783062,89.0
Newfoundland and Labrador (Canada),7.278,1.365,1.505,1.039,0.584,524137,47.0
Nicaragua,6.105,0.6940000000000001,1.325,0.835,0.435,6545503,2.0
Niger,4.628,0.138,0.774,0.366,0.318,23310719,69.0
Nigeria,5.265,0.696,1.111,0.245,0.426,200963603,208.0
Ningxia (China),5.191,1.029,1.125,0.893,0.521,6880000,6.0
North Macedonia,5.274,0.983,1.294,0.838,0.345,2083458,107.0
Northern Territory (Australia),7.228,1.372,1.548,1.036,0.557,247940,6.0
Northwest Territories (Canada),7.278,1.365,1.505,1.039,0.584,45100,2.0
Norway,7.5539999999999985,1.4880000000000002,1.582,1.028,0.603,5378859,386.0
Nova Scotia (Canada),7.278,1.365,1.505,1.039,0.584,975231,65.0
Ontario (Canada),7.278,1.365,1.505,1.039,0.584,14637880,1393.0
Pakistan,5.653,0.677,0.8859999999999999,0.535,0.313,216565317,1292.0
Panama,6.3210000000000015,1.149,1.442,0.91,0.516,4246440,357.0
Paraguay,5.7429999999999986,0.855,1.475,0.777,0.514,7044639,27.0
Peru,5.697,0.96,1.274,0.8540000000000001,0.455,32510462,3683.0
Philippines,5.631,0.807,1.293,0.657,0.5579999999999999,108116622,538.0
Poland,6.182,1.206,1.4380000000000002,0.884,0.483,37887771,545.0
Portugal,5.693,1.221,1.431,0.999,0.508,10226178,1516.0
Prince Edward Island (Canada),7.278,1.365,1.505,1.039,0.584,158334,7.0
Qatar,6.374,1.6840000000000002,1.3130000000000002,0.871,0.555,2832071,957.0
