Country,Population 2019,Source
Afghanistan,38041757,UN
Albania,2880913,UN
Alberta (Canada),4384968,statcan.gc.ca
Algeria,43053054,UN
American Samoa,55312,UN
Andorra,77146,UN
Angola,31825299,UN
Anguilla,14872,UN
Anguilla (United Kingdom),14869,worldometers.info
Anhui (China),63240000,statista.com
Antigua and Barbuda,97115,UN
Argentina,44780675,UN
Armenia,2957728,UN
Aruba,106310,UN
Aruba (Netherlands),105845,worldometers.info
Australia,25203200,UN
Australian Capital Territory (Australia),412576,population.net.au
Austria,8955108,UN
Azerbaijan,10047719,UN
Bahamas,389486,UN
Bahrain,1641164,UN
Bangladesh,163046173,UN
Barbados,287021,UN
Beijing (China),21540000,statista.com
Belarus,9452409,UN
Belgium,11539326,UN
Belize,390351,UN
Benin,11801151,UN
Bermuda,62508,UN
Bermuda (United Kingdom),62502,worldometers.info
Bhutan,763094,UN
Bolivia,11513100,worldometers.info
Bolivia (Plurinational State of),11513102,UN
"Bonaire, Sint Eustatius and Saba",25983,UN
"Bonaire, Sint Eustatius and Saba (Netherlands)",20104,statista.com
Bosnia and Herzegovina,3300998,UN
Botswana,2303703,UN
Brazil,211049519,UN
British Columbia (Canada),5071000,statista.com
British Virgin Islands,30033,UN
British Virgin Islands (United Kingdom),30030,worldometers.info
Brunei Darussalam,433296,UN
Bulgaria,7000117,UN
Burkina Faso,20321383,UN
Burundi,11530577,UN
Cabo Verde,549936,UN
Cambodia,16486542,UN
Cameroon,25876387,UN
Canada,37411038,UN
Cayman Islands,64948,UN
Cayman Islands (United Kingdom),64948,worldometers.info
Central African Republic,4745179,UN
Chad,15946882,UN
Channel Islands,172264,UN
Channel Islands (United Kingdom),172259,worldometers.info
Chile,18952035,UN
China,1433783692,UN
"China, Hong Kong SAR",7436157,UN
"China, Macao SAR",640446,UN
"China, Taiwan Province of China",23773881,UN
Chongqing (China),31020000,statista.com
Colombia,50339443,UN
Comoros,850891,UN
Congo,5380504,UN
Congo (Brazzaville),2308000,http://www.brazzaville.cg/
Congo (Kinshasa),89561403,worldometers.info
Cook Islands,17547,UN
Costa Rica,5047561,UN
Côte d'Ivoire,25716554,UN
Croatia,4130299,UN
Cuba,11333484,UN
Curaçao,163423,UN
Curacao (Netherlands),163424,worldometers.info
Cyprus,1198574,UN
Czechia,10689213,UN
Dem. People's Republic of Korea,25666158,UN
Democratic Republic of the Congo,86790568,UN
Denmark,5771877,UN
Diamond Princess (Canada),,
Djibouti,973557,UN
Dominica,71808,UN
Dominican Republic,10738957,UN
Ecuador,17373657,UN
Egypt,100388076,UN
El Salvador,6453550,UN
Equatorial Guinea,1355982,UN
Eritrea,3497117,UN
Estonia,1325649,UN
Eswatini,1148133,UN
Ethiopia,112078727,UN
Falkland Islands (Malvinas),3372,UN
Falkland Islands (Malvinas) (United Kingdom),3377,worldometers.info
Faroe Islands,48677,UN
Faroe Islands (Denmark),48680,worldpopulationreview.com
Fiji,889955,UN
Finland,5532159,UN
France,65129731,UN
French Guiana,290823,UN
French Guiana (France),290832,worldometers.info
French Polynesia,279285,UN
French Polynesia (France),279287,worldometers.info
Fujian (China),39410000,statista.com
Gabon,2172578,UN
Gambia,2347696,UN
Gansu (China),26370000,statista.com
Georgia,3996762,UN
Germany,83517046,UN
Ghana,30417858,UN
Gibraltar,33706,UN
Gibraltar (United Kingdom),33701,worldometers.info
Grand Princess (Canada),,
Greece,10473452,UN
Greenland,56660,UN
Greenland (Denmark),56992,statista.com
Grenada,112002,UN
Guadeloupe,400048,UN
Guadeloupe (France),400056,worldometers.info
Guam,167295,UN
Guangdong (China),113460000,statista.com
Guangxi (China),49260000,statista.com
Guatemala,17581476,UN
Guinea,12771246,UN
Guinea-Bissau,1920917,UN
Guizhou (China),36000000,statista.com
Guyana,782775,UN
Hainan (China),9340000,statista.com
Haiti,11263079,UN
Hebei (China),75560000,statista.com
Heilongjiang (China),37730000,statista.com
Henan (China),96050000,statista.com
Holy See,815,UN
Honduras,9746115,UN
Hong Kong (China),7436154,worldometers.info
Hubei (China),59170000,statista.com
Hunan (China),68990000,statista.com
Hungary,9684680,UN
Iceland,339037,UN
India,1366417756,UN
Indonesia,270625567,UN
Inner Mongolia (China),25340000,statista.com
Iran,82913906,worldometers.info
Iran (Islamic Republic of),82913893,UN
Iraq,39309789,UN
Ireland,4882498,UN
Isle of Man,84589,UN
Isle of Man (United Kingdom),84584,worldometers.info
Israel,8519373,UN
Italy,60550092,UN
Jamaica,2948277,UN
Japan,126860299,UN
Jiangsu (China),80510000,statista.com
Jiangxi (China),46480000,statista.com
Jilin (China),27040000,statista.com
Jordan,10101697,UN
Kazakhstan,18551428,UN
Kenya,52573967,UN
Kiribati,117608,UN
Kosovo,"1,809,280 ",countrymeters.info
Kuwait,4207077,UN
Kyrgyzstan,6415851,UN
Lao People's Democratic Republic,7169456,UN
Laos,7169455,worldometers.info
Latvia,1906740,UN
Lebanon,6855709,UN
Lesotho,2125267,UN
Liaoning (China),43590000,statista.com
Liberia,4937374,UN
Libya,6777453,UN
Liechtenstein,38020,UN
Lithuania,2759631,UN
Luxembourg,615730,UN
Macau (China),640445,worldometers.info
Madagascar,26969306,UN
Malawi,18628749,UN
Malaysia,31949789,UN
Maldives,530957,UN
Mali,19658023,UN
Malta,440377,UN
Manitoba (Canada),1373574,statcan.gc.ca
Marshall Islands,58791,UN
Martinique,375557,UN
Martinique (France),375554,worldometers.info
Mauritania,4525698,UN
Mauritius,1269670,UN
Mayotte,266153,UN
Mayotte (France),266150,worldometers.info
Mexico,127575529,UN
Micronesia (Fed. States of),113811,UN
Moldova,4043263,worldometers.info
Monaco,38967,UN
Mongolia,3225166,UN
Montenegro,627988,UN
Montserrat,4991,UN
Montserrat (United Kingdom),4989,worldometers.info
Morocco,36471766,UN
Mozambique,30366043,UN
Myanmar,54045422,UN
Namibia,2494524,UN
Nauru,10764,UN
Nepal,28608715,UN
Netherlands,17097123,UN
New Brunswick (Canada),780154,statcan.gc.ca
New Caledonia,282757,UN
New Caledonia (France),282750,worldometers.info
New South Wales (Australia),7992000,population.net.au
New Zealand,4783062,UN
Newfoundland and Labrador (Canada),524137,statcan.gc.ca
Nicaragua,6545503,UN
Niger,23310719,UN
Nigeria,200963603,UN
Ningxia (China),6880000,statista.com
Niue,1614,UN
North Macedonia,2083458,UN
Northern Mariana Islands,57213,UN
Northern Territory (Australia),247940,population.net.au
Northwest Territories (Canada),45100,statcan.gc.ca
Norway,5378859,UN
Nova Scotia (Canada),975231,statcan.gc.ca
Oman,4974992,UN
Ontario (Canada),14637880,statcan.gc.ca
Pakistan,216565317,UN
Palau,18001,UN
Panama,4246440,UN
Papua New Guinea,8776119,UN
Paraguay,7044639,UN
Peru,32510462,UN
Philippines,108116622,UN
Poland,37887771,UN
Portugal,10226178,UN
Prince Edward Island (Canada),158334,statcan.gc.ca
Puerto Rico,2933404,UN
Qatar,2832071,UN
Qinghai (China),6030000,statista.com
Quebec (Canada),8540420,statcan.gc.ca
Queensland (Australia),5046000,population.net.au
Recovered (Canada),,
Republic of Korea,51225321,UN
Republic of Moldova,4043258,UN
Réunion,888932,UN
Reunion (France),888927,worldometers.info
Romania,19364558,UN
Russia,145872256,worldometers.info
Russian Federation,145872260,UN
Rwanda,12626938,UN
Saint Barthélemy,9853,UN
Saint Barthelemy (France),9816,worldometers.info
Saint Helena,6061,UN
Saint Kitts and Nevis,52834,UN
Saint Lucia,182795,UN
Saint Martin (French part),38002,UN
Saint Pierre and Miquelon,5821,UN
Saint Pierre and Miquelon (France),5822,worldometers.info
Saint Vincent and the Grenadines,110593,UN
Samoa,197093,UN
San Marino,33864,UN
Sao Tome and Principe,215048,UN
Saskatchewan (Canada),1176272,population.net.au
Saudi Arabia,34268529,UN
Senegal,16296362,UN
Serbia,8772228,UN
Seychelles,97741,UN
Shaanxi (China),38640000,statista.com
Shandong (China),100470000,statista.com
Shanghai (China),24240000,statista.com
Shanxi (China),37180000,statista.com
Sichuan (China),83410000,statista.com
Sierra Leone,7813207,UN
Singapore,5804343,UN
Sint Maarten (Dutch part),42389,UN
Sint Maarten (Netherlands),42388,worldometers.info
Slovakia,5457012,UN
Slovenia,2078654,UN
Solomon Islands,669821,UN
Somalia,15442906,UN
South Africa,58558267,UN
South Australia (Australia),1731000,population.net.au
South Sudan,11062114,UN
Spain,46736782,UN
Sri Lanka,21323734,UN
St Martin (France),38002,worldometers.info
State of Palestine,4981422,UN
Sudan,42813237,UN
Suriname,581363,UN
Sweden,10036391,UN
Switzerland,8591361,UN
Syria,17070135,worldometers.info
Syrian Arab Republic,17070132,UN
Tajikistan,9321023,UN
Tanzania,58005463,worldometers.info
Tasmania (Australia),522327,population.net.au
Thailand,69625581,UN
Tianjin (China),15600000,statista.com
Tibet (China),3440000,statista.com
Timor-Leste,1293120,UN
Togo,8082359,UN
Tokelau,1330,UN
Tonga,104497,UN
Trinidad and Tobago,1394969,UN
Tunisia,11694721,UN
Turkey,83429607,UN
Turkmenistan,5942094,UN
Turks and Caicos Islands,38194,UN
Turks and Caicos Islands (United Kingdom),38191,worldometers.info
Tuvalu,11655,UN
Uganda,44269587,UN
Ukraine,43993643,UN
United Arab Emirates,9770526,UN
United Kingdom,67530161,UN
United Republic of Tanzania,58005461,UN
United States of America,329064917,UN
United States Virgin Islands,104579,UN
Uruguay,3461731,UN
Uzbekistan,32981715,UN
Vanuatu,299882,UN
Venezuela,28515829,worldometers.info
Venezuela (Bolivarian Republic of),28515829,UN
Victoria (Australia),6280000,population.net.au
Viet Nam,96462108,UN
Vietnam,96462106,worldometers.info
Wallis and Futuna Islands,11436,UN
Western Australia (Australia),2720000,population.net.au
Western Sahara,582458,UN
Xinjiang (China),24870000,statista.com
Yemen,29161922,UN
Yukon (Canada),41668,statcan.gc.ca
Yunnan (China),48300000,statista.com
Zambia,17861034,UN
Zhejiang (China),57370000,statista.com
Zimbabwe,14645473,UN
